actor_id,name,birth,agency,sns,image,work1,work2,work3,work4,work5
343,유여빈,1999.06.30,,,actor_images\56644.gif,"드림스쿨
2025.12.18 ~ 2025.12.28
후암스테이지 1관
예린 역"," 타키포오 ［몬스터 전쟁의 서막 ; 더 좀비］ - 과천
2025.09.20 ~ 2025.09.21
국립과천과학관 어울림홀","디스코걸즈
2024.04.17 ~ 오픈런
더굿씨어터
진방글 역",,
344,나규진,,,,actor_images\29675.gif,"드림스쿨
2025.12.18 ~ 2025.12.28
후암스테이지 1관
담임 및 박사 역","동물없는가족
2025.02.26 ~ 2025.03.09
대학로 공간아울","무간도, 2인실
2023.01.25 ~ 2023.02.12
대학로 공간아울
무간도 - 철 역","해주미용실
2019.08.29 ~ 2019.09.08
나온 씨어터
김성덕 역","두 바퀴로 가는 자동차
2019.07.03 ~ 2019.07.14
대학로 공간아울
영창 역"
345,안은수,1996.01.02,,http://www.instagram.com/ahn_eunsu/,actor_images\56679.gif,"드림스쿨
2025.12.18 ~ 2025.12.28
후암스테이지 1관
수아 역",,,,
346,이황주,1997.01.14,,,actor_images\56669.gif,"드림스쿨
2025.12.18 ~ 2025.12.28
후암스테이지 1관
조안전 역",,,,
347,김가슬,1994.10.17,,http://www.instagram.com/gaseul_94,actor_images\56026.gif,"스크루테이프의 편지
2024.01.12 ~ 2026.01.31
북촌나래홀
웜우드 역",,,,
348,김태영,1999.07.24,,,actor_images\56027.gif,"스크루테이프의 편지
2024.01.12 ~ 2026.01.31
북촌나래홀
블랙엔젤 역",,,,
349,이경호,1998.02.28,,http://www.instagram.com/kyungho22222 | http://www.youtube.com/@hoho2902,actor_images\56025.gif,"제 3회 놀자 청년 연극제
2025.10.14 ~ 2025.11.09
설렘아트홀
남자 역","스크루테이프의 편지
2024.01.12 ~ 2026.01.31
북촌나래홀
스크루테이프 역","또 하나의 약속
2018.07.12 ~ 2018.07.15
동덕여대 공연예술센터",,
350,김호수,,,http://www.instagram.com/kim_lake_ | https://www.youtube.com/@lakekim,actor_images\56028.gif,"스크루테이프의 편지
2024.01.12 ~ 2026.01.31
북촌나래홀
웜우드 역",,,,
351,봉경복,,,,actor_images\29159.gif," 헬로카봇 시즌9
2025.07.26 ~ 2025.08.24
백암아트홀
블랙위저드/차탄3 역","함께 날 수 있기를 : 잇다 - 인천
2025.01.14 ~ 2025.01.15
인천 중구문화회관
물류팀장/전무 역","헬로카봇 - 서울 앵콜
2025.01.04 ~ 2025.02.09
신한카드 SOL 페이 스퀘어 라이브홀
차산/방조수/블랙위저드 역","탐정케이：수인마을 살인 사건
2024.11.09 ~ 2025.02.02
예그린씨어터
제이 역","앤서니브라운의 고릴라
2024.03.01 ~ 2024.07.14
상상나라극장
아빠/고릴라 역"
352,길하윤,1997.12.08,,http://www.instagram.com/tosiri_/ | https://youtu.be/Z3WCx8ikiNI?si=A7pmizAPqGEZneLi,actor_images\54645.gif,"어린이  〈피요피요〉 - 연천
2025.10.02 ~ 2025.10.02
연천수레울아트홀 대공연장
희수 역","〈팬텀〉 10주년 기념 공연
2025.05.31 ~ 2025.08.11
세종문화회관 대극장
앙상블","오페레타  판타지아3 오케스트라 챔피언십
2025.01.18 ~ 2025.02.23
국립중앙박물관 극장 용
크랄라 역","오페레타  판타지아 시즌 1 '산타마을을 구하라'
2024.12.07 ~ 2025.01.12
국립중앙박물관 극장 용
크랄라 역","마침내,독립
2024.08.13 ~ 2024.08.13
청라블루노바홀
신관빈 역"
