actor_id,name,birth,agency,sns,image,work1,work2,work3,work4,work5
38,박정민,1987.02.25,NULL,NULL,actor_images/25551.gif,"〈라이프 오브 파이〉 한국 초연 2025.12.02 ~ 2026.03.02 GS아트센터 파이 역","다빈치모텔 2022.10.14 ~ 2022.10.16 현대카드 이태원","청춘페스티벌 2018.05.12 ~ 2018.05.13 난지한강공원","로미오와 줄리엣 2016.12.09 ~ 2017.01.15 국립극장 로미오 역","G코드의 탈출 2014.02.18 ~ 2014.02.23"
39,박강현,1990.02.27,NULL,NULL,actor_images/38358.gif,"〈라이프 오브 파이〉 한국 초연 2025.12.02 ~ 2026.03.02 GS아트센터 파이 역","〈알라딘〉 한국 초연 - 부산 2025.08.15 ~ 2025.08.17 드림씨어터 알라딘 역","〈알라딘〉 한국 초연 - 부산 2025.07.11 ~ 2025.09.28 드림씨어터 알라딘 역","〈멤피스〉 2025.06.17 ~ 2025.09.21 충무아트센터 대극장 휴이 역","알라딘 한국 초연 2025.04.12 ~ 2025.04.16 샤롯데씨어터 알라딘 역"
40,한규정,1985,NULL,NULL,actor_images/4318.jpg,"〈라이프 오브 파이〉 한국 초연 2025.12.02 ~ 2026.03.02 GS아트센터 마마지/판딧지 역","음악극 〈들꽃 찾아〉 2025.04.25 ~ 2025.04.27 창동극장","젠틀맨스 가이드 2024.07.06 ~ 2024.10.20 광림아트센터 BBCH홀","룰렛 2022.11.25 ~ 2022.11.26 CKL 스테이지","동네 2022.10.26 ~ 2022.10.30 우란문화재단"
41,차윤해,1994.02.03,NULL,http://www.instagram.com/aquazz0203,actor_images/45102.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 크리스티안 역","〈마리 퀴리〉 2025.07.25 ~ 2025.10.19 광림아트센터 BBCH홀 피에르 퀴리 역","시라노 2024.12.06 ~ 2025.02.23 예술의전당 CJ 토월극장 크리스티앙 역","4월은 너의 거짓말 2024.06.28 ~ 2024.08.25 예술의전당 CJ 토월극장 와타리 료타 역","레미제라블 - 대구 2024.03.21 ~ 2024.04.07 계명아트센터 앙졸라 역"
42,전성혜,NULL,NULL,NULL,actor_images/49123.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 니니 역","13 후르츠케이크 2023.12.17 ~ 2023.12.29 국립정동극장 세실","물랑루즈 2022.12.16 ~ 2023.03.05 블루스퀘어 신한카드홀 니니 역","아이다 2022.05.10 ~ 2022.08.07 블루스퀘어 신한카드홀 앙상블","광화문 연가 2021.07.16 ~ 2021.09.05 예술의전당 오페라극장 앙상블"
43,이석훈,1984.02.21,NULL,http://www.instagram.com/lee.seokhoon,actor_images/29854.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 크리스티안 역","뷰티풀 민트 라이프 2025 2025.06.13 ~ 2025.06.15 올림픽공원","웃는 남자 2025.01.09 ~ 2025.03.09 예술의전당 오페라극장 그윈플렌 역","Someday Christmas in 여수 2024.12.21 ~ 2024.12.22 진남체육관","킹키부츠 2024.09.07 ~ 2024.11.10 블루스퀘어 신한카드홀 찰리 역"
44,정선아,1984.10.12,팜트리아일랜드,https://www.instagram.com/summer.jeong,actor_images/3738.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 사틴 역","〈멤피스〉 - 성남 2025.10.18 ~ 2025.10.19 성남아트센터 오페라하우스 펠리샤 역","〈멤피스〉 2025.06.17 ~ 2025.09.21 충무아트센터 대극장 펠리샤 역","〈이프덴〉 2024.12.03 ~ 2025.03.02 홍익대 대학로 아트센터 대극장 엘리자베스 역","〈시카고〉 2024.06.07 ~ 2024.09.29 디큐브 링크아트센터 벨마 켈리 역"
45,하유진,1988.10.07,NULL,NULL,actor_images/37928.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 니니 역","시스터즈 2023.09.03 ~ 2023.11.12 홍익대 대학로 아트센터 대극장","물랑루즈 2022.12.16 ~ 2023.03.05 블루스퀘어 신한카드홀 앙상블","아이다 2022.05.10 ~ 2022.08.07 블루스퀘어 신한카드홀 앙상블","듀엣 2020.10.23 ~ 2021.01.31 KT&G 상상마당 대치아트홀"
46,심건우,1985.01.19,NULL,NULL,actor_images/21847.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 산티아고 역","더 쇼! 신라 2025.02.24 ~ 2025.03.07 경주엑스포대공원 문화센터 문무홀","조로: 액터뮤지션 2024.09.11 ~ 2024.11.17 NOL 유니플렉스","그레이트 코멧 2024.03.26 ~ 2024.06.16 유니버설아트센터 돌로코프 역","더 쇼! 신라하다 2023.10.21 ~ 2023.12.07 경주엑스포대공원"
47,이정하,1991.08.28,NULL,http://www.instagram.com/wakkaa__,actor_images/50986.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 아라비아 역","〈멤피스〉 2025.06.17 ~ 2025.09.21 충무아트센터 대극장 앙상블","마타하리 2024.12.05 ~ 2025.03.02 LG아트센터 서울 앙상블","그레이트 코멧 2024.03.26 ~ 2024.06.16 유니버설아트센터 앙상블","드래곤 하이 2023.09.02 ~ 2023.10.15 국립중앙박물관 극장 용"
48,김단주,NULL,NULL,NULL,actor_images/48185.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 베이비돌 역","드래곤하이 스페셜 2024.09.28 ~ 2024.11.24 국립중앙박물관 극장 용","비클래스 2024.02.20 ~ 2024.05.06 링크아트센터드림 드림2관 치아키 역","드래곤 하이 2023.09.02 ~ 2023.10.15 국립중앙박물관 극장 용","단 2023.06.23 ~ 2023.06.25 KT&G 상상마당 대치아트홀"
49,김지우,1983.11.22,NULL,http://twitter.com/jiwoo_gooreum,actor_images/3347.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 사틴 역","〈프리다〉 2025.06.17 ~ 2025.09.07 NOL 유니플렉스 1관 프리다 역","옥주현 with Friends 콘서트 2025.05.17 춘천 강원대 백령아트센터","킹키부츠 - 대구 2025.01.11 ~ 2025.01.26 계명아트센터 로렌 역","킹키부츠 - 세종 2025.01.04 ~ 2025.01.05 세종예술의전당"
50,권오경,1992.09.07,NULL,http://www.instagram.com/Ohkyungee,actor_images/51759.gif,"〈물랑루즈!〉 2025.11.27 ~ 2026.02.22 블루스퀘어 신한카드홀 아라비아 역","킹스 테이블 2023.05.26 대학로 드림아트센터 3관","웨스트 사이드 스토리 2022.11.17 ~ 2023.02.26 충무아트센터 대극장 앙상블","맨 오브 라만차 2021.03.24 ~ 2021.05.16 충무아트센터 대극장 페르미나 역","드라큘라 2020.02.11 ~ 2020.06.07 샤롯데씨어터"
