play_no,title,start_date,end_date,theater,actors
222141,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,링크아트센터드림 드림2관,"박영수,송유택,윤은채,이봉준,이한솔,조성윤,홍기범"
223461,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,링크아트센터 벅스홀,"노윤,박규원,박준형,변희상,신은총,심수호,윤은채,이종석,정재환"
223317,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,서울숲 씨어터 2관,"김경록,위예경,윤은채,윤현선,정이운,조성태,홍이솔,황건우"
212529,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,국립중앙박물관 극장 용,윤은채
224290,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,지구인아트홀,"김시준,김정우,김해내린,소현,유한솔,윤은채,이예지,이정원,정연,조영빈,조형렬,황세희"
214182,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,서울숲씨어터 1관,"김나혁,김대운,문용현,안진영,윤은채,이지민,장인혜,최승환"
223099,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,KBS 수원아트홀,윤은채
223166,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,국립정동극장,윤은채
225213,공연의 모든 것 - 플레이DB,,,,윤은채
212740,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,한국항공대학교 투데이아트홀,"김다인,김서아,서현,신우성,심진보,원덕현,윤은채,허지연"
217377,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,더굿씨어터,"김다빈,김동근,김승현,박수은,박해수,오형규,유여빈,윤수아,윤은채,이혜연,임동휘,임초은,정주연,차민우,최솔,최하늘"
188624,공연의 모든 것 - 플레이DB,2023-08-12,2023-09-30,대학로 자유극장,"김소정,김솔,김안젤라,렉스,문준혁,박혜원,오태후,윤은채,이미경,임창민,정현준,천관우,한수민"
201787,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,대학로 스타시티 7층 후암씨어터,"김남호,김늘메,김상원,김유림,김은솔,루이찬,서은교,서지우,서태이,석우성,윤은채,이예소,이채원,이한울,이효주,임재혁,장대성,정동근,조윤진,주호,최예윤"
222482,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,서울숲씨어터 1관,윤은채
205713,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,엠스테이지,"박주연,윤은채,홍규영"
199958,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,JS 아트홀,"박이안,백찬혁,서지우,안지후,윤은채,이강오,이원호,이제성,전대현,정승환,정아연,최찬웅,홍성민"
209565,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,명보아트홀 3층 점프전용극장,윤은채
221266,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,런던스테이지,윤은채
